akun,anggaran,realisasi,persentase
" Pendapatan Daerah","959,12 M","480,28 M",50.07
" PAD","267,55 M","159,48 M",59.61
" Pajak Daerah","85,22 M","64,37 M",75.54
" Retribusi Daerah","12,24 M","77,51 M",633.49
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","3,85 M","3,92 M",101.85
" Lain-Lain PAD yang Sah","166,25 M","13,67 M",8.23
" TKDD","602,76 M","313,83 M",52.06
" Pendapatan Transfer Pemerintah Pusat","602,76 M","313,83 M",52.06
" Pendapatan Lainnya","88,81 M","6,97 M",7.85
" Pendapatan Transfer Antar Daerah","88,81 M","6,97 M",7.85
" Belanja Daerah","1.086,75 M","567,65 M",52.23
" Belanja Pegawai","366,83 M","219,80 M",59.92
" Belanja Pegawai","366,83 M","219,80 M",59.92
" Belanja Barang dan Jasa","452,33 M","256,35 M",56.67
" Belanja Barang dan Jasa","452,33 M","256,35 M",56.67
" Belanja Modal","151,59 M","31,24 M",20.61
" Belanja Modal","151,59 M","31,24 M",20.61
" Belanja Lainnya","116,00 M","60,25 M",51.94
" Belanja Bunga","4,02 M","2,56 M",63.55
" Belanja Hibah","63,45 M","50,76 M",80.01
" Belanja Bantuan Sosial","10,84 M","6,80 M",62.78
" Belanja Tidak Terduga","37,69 M","0,12 M",0.33
" Pembiayaan Daerah","127,63 M","91,65 M",71.81
" Penerimaan Pembiayaan Daerah","153,08 M","104,37 M",68.18
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","153,03 M","104,36 M",68.20
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,05 M","0,01 M",18.80
" Pengeluaran Pembiayaan Daerah","25,45 M","12,72 M",50.00
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","25,45 M","12,72 M",50.00
