akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.358,55 M","1.343,81 M",56.98
" PAD","351,59 M","193,64 M",55.07
" Pajak Daerah","113,74 M","80,77 M",71.01
" Retribusi Daerah","230,26 M","106,84 M",46.40
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","2,44 M","1,28 M",52.58
" Lain-Lain PAD yang Sah","5,15 M","4,75 M",92.15
" TKDD","1.827,85 M","1.087,85 M",59.52
" Pendapatan Transfer Pemerintah Pusat","1.827,85 M","1.087,85 M",59.52
" Pendapatan Lainnya","179,11 M","62,32 M",34.79
" Pendapatan Hibah","0,00 M","0,00 M",0
" Pendapatan Transfer Antar Daerah","179,11 M","62,32 M",34.79
" Belanja Daerah","2.350,81 M","1.425,03 M",60.62
" Belanja Pegawai","1.073,53 M","678,68 M",63.22
" Belanja Pegawai","1.073,53 M","678,68 M",63.22
" Belanja Barang dan Jasa","480,31 M","245,17 M",51.04
" Belanja Barang dan Jasa","480,31 M","245,17 M",51.04
" Belanja Modal","226,57 M","45,29 M",19.99
" Belanja Modal","226,57 M","45,29 M",19.99
" Belanja Lainnya","570,40 M","455,89 M",79.92
" Belanja Bagi Hasil","0,00 M","0,00 M",0
" Belanja Bantuan Keuangan","436,10 M","355,94 M",81.62
" Belanja Bunga","7,11 M","4,36 M",61.32
" Belanja Hibah","113,33 M","90,03 M",79.44
" Belanja Bantuan Sosial","8,86 M","4,97 M",56.14
" Belanja Tidak Terduga","5,00 M","0,58 M",11.51
" Pembiayaan Daerah","-7,74 M","-16,00 M",206.83
" Penerimaan Pembiayaan Daerah","40,58 M","0,00 M",0.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","40,28 M","0,00 M",0.00
" Pencairan Dana Cadangan","0,00 M","0,00 M",0
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,30 M","0,00 M",0.00
" Pengeluaran Pembiayaan Daerah","48,31 M","16,00 M",33.12
" Pembentukan Dana Cadangan","0,00 M","0,00 M",0
" Penyertaan Modal Daerah","0,00 M","0,00 M",0
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","48,31 M","16,00 M",33.12
" Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,00 M",0
