akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.539,66 M","1.733,30 M",68.25
" PAD","394,13 M","253,46 M",64.31
" Pajak Daerah","135,02 M","82,30 M",60.96
" Retribusi Daerah","238,74 M","158,40 M",66.35
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","2,35 M","2,54 M",107.82
" Lain-Lain PAD yang Sah","18,02 M","10,22 M",56.73
" TKDD","1.950,41 M","1.351,82 M",69.31
" Pendapatan Transfer Pemerintah Pusat","1.950,41 M","1.351,82 M",69.31
" Pendapatan Lainnya","195,13 M","128,02 M",65.61
" Pendapatan Transfer Antar Daerah","195,13 M","128,02 M",65.61
" Belanja Daerah","2.729,02 M","1.661,57 M",60.89
" Belanja Pegawai","1.043,59 M","700,27 M",67.10
" Belanja Pegawai","1.043,59 M","700,27 M",67.10
" Belanja Barang dan Jasa","764,26 M","371,45 M",48.60
" Belanja Barang dan Jasa","764,26 M","371,45 M",48.60
" Belanja Modal","386,10 M","151,11 M",39.14
" Belanja Modal","386,10 M","151,11 M",39.14
" Belanja Lainnya","535,06 M","438,75 M",82.00
" Belanja Bagi Hasil","11,87 M","8,57 M",72.16
" Belanja Bantuan Keuangan","376,54 M","321,78 M",85.46
" Belanja Hibah","108,04 M","85,55 M",79.19
" Belanja Bantuan Sosial","30,67 M","18,38 M",59.94
" Belanja Tidak Terduga","7,93 M","4,46 M",56.24
" Pembiayaan Daerah","189,35 M","193,65 M",102.27
" Penerimaan Pembiayaan Daerah","191,75 M","196,05 M",102.24
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","191,75 M","196,05 M",102.24
" Pengeluaran Pembiayaan Daerah","2,40 M","2,40 M",100.00
" Penyertaan Modal Daerah","2,40 M","2,40 M",100.00
