akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.968,01 M","1.235,89 M",62.80
" PAD","284,41 M","153,62 M",54.01
" Pajak Daerah","50,08 M","35,43 M",70.74
" Retribusi Daerah","9,11 M","5,89 M",64.60
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","0,00 M","2,33 M",0
" Lain-Lain PAD yang Sah","225,21 M","109,98 M",48.83
" TKDD","1.547,17 M","1.003,96 M",64.89
" Pendapatan Transfer Pemerintah Pusat","1.547,17 M","1.003,96 M",64.89
" Pendapatan Lainnya","136,43 M","78,30 M",57.39
" Pendapatan Transfer Antar Daerah","136,43 M","78,30 M",57.39
" Belanja Daerah","2.238,92 M","1.106,56 M",49.42
" Belanja Pegawai","898,87 M","517,19 M",57.54
" Belanja Pegawai","898,87 M","517,19 M",57.54
" Belanja Barang dan Jasa","668,99 M","247,07 M",36.93
" Belanja Barang dan Jasa","668,99 M","247,07 M",36.93
" Belanja Modal","210,96 M","45,45 M",21.54
" Belanja Modal","210,96 M","45,45 M",21.54
" Belanja Lainnya","460,10 M","296,85 M",64.52
" Belanja Bagi Hasil","5,92 M","0,11 M",1.92
" Belanja Bantuan Keuangan","304,62 M","207,90 M",68.25
" Belanja Hibah","113,40 M","77,77 M",68.58
" Belanja Bantuan Sosial","22,86 M","6,42 M",28.07
" Belanja Tidak Terduga","13,30 M","4,65 M",34.99
" Pembiayaan Daerah","270,91 M","51,02 M",18.83
" Penerimaan Pembiayaan Daerah","292,14 M","63,41 M",21.70
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","292,14 M","63,41 M",21.70
" Pengeluaran Pembiayaan Daerah","21,23 M","12,38 M",58.33
" Pembentukan Dana Cadangan","0,00 M","0,00 M",0
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","21,23 M","12,38 M",58.33
