akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.996,89 M","1.315,50 M",65.88
" PAD","343,73 M","207,20 M",60.28
" Pajak Daerah","37,57 M","22,75 M",60.56
" Retribusi Daerah","13,25 M","4,38 M",33.05
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","9,50 M","6,33 M",66.61
" Lain-Lain PAD yang Sah","283,41 M","173,74 M",61.30
" TKDD","1.537,17 M","1.038,54 M",67.56
" Pendapatan Transfer Pemerintah Pusat","1.537,17 M","1.038,54 M",67.56
" Pendapatan Lainnya","116,00 M","69,77 M",60.15
" Pendapatan Transfer Antar Daerah","116,00 M","69,77 M",60.15
" Belanja Daerah","2.051,99 M","1.125,81 M",54.86
" Belanja Pegawai","845,39 M","489,46 M",57.90
" Belanja Pegawai","845,39 M","489,46 M",57.90
" Belanja Barang dan Jasa","500,73 M","247,67 M",49.46
" Belanja Barang dan Jasa","500,73 M","247,67 M",49.46
" Belanja Modal","175,84 M","42,72 M",24.29
" Belanja Modal","175,84 M","42,72 M",24.29
" Belanja Lainnya","530,02 M","345,97 M",65.27
" Belanja Bagi Hasil","5,08 M","2,38 M",46.89
" Belanja Bantuan Keuangan","318,14 M","263,79 M",82.92
" Belanja Bunga","7,19 M","5,40 M",75.13
" Belanja Hibah","193,21 M","72,80 M",37.68
" Belanja Bantuan Sosial","1,41 M","1,39 M",99.13
" Belanja Tidak Terduga","5,00 M","0,19 M",3.88
" Pembiayaan Daerah","55,10 M","59,06 M",107.19
" Penerimaan Pembiayaan Daerah","109,94 M","96,70 M",87.96
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","93,19 M","96,70 M",103.77
" Pencairan Dana Cadangan","16,00 M","0,00 M",0.00
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,75 M","0,00 M",0.00
" Pengeluaran Pembiayaan Daerah","54,84 M","37,64 M",68.64
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","54,84 M","37,64 M",68.64
