akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.838,00 M","1.536,94 M",54.16
" PAD","593,02 M","330,97 M",55.81
" Pajak Daerah","180,18 M","103,21 M",57.28
" Retribusi Daerah","20,40 M","10,75 M",52.69
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","8,21 M","1,92 M",23.45
" Lain-Lain PAD yang Sah","384,23 M","215,09 M",55.98
" TKDD","2.034,36 M","1.076,76 M",52.93
" Pendapatan Transfer Pemerintah Pusat","2.034,36 M","1.076,76 M",52.93
" Pendapatan Lainnya","210,62 M","129,21 M",61.34
" Pendapatan Transfer Antar Daerah","210,62 M","129,21 M",61.34
" Belanja Daerah","3.076,00 M","1.947,06 M",63.30
" Belanja Pegawai","1.111,01 M","693,28 M",62.40
" Belanja Pegawai","1.111,01 M","693,28 M",62.40
" Belanja Barang dan Jasa","962,22 M","534,59 M",55.56
" Belanja Barang dan Jasa","962,22 M","534,59 M",55.56
" Belanja Modal","256,89 M","73,35 M",28.55
" Belanja Modal","256,89 M","73,35 M",28.55
" Belanja Lainnya","745,87 M","645,84 M",86.59
" Belanja Bagi Hasil","20,18 M","19,38 M",96.03
" Belanja Bantuan Keuangan","495,30 M","451,23 M",91.10
" Belanja Hibah","213,29 M","169,41 M",79.43
" Belanja Bantuan Sosial","6,85 M","3,89 M",56.76
" Belanja Tidak Terduga","10,26 M","1,94 M",18.94
" Pembiayaan Daerah","238,00 M","0,01 M",0.00
" Penerimaan Pembiayaan Daerah","258,00 M","0,01 M",0.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","178,00 M","0,00 M",0.00
" Pencairan Dana Cadangan","60,00 M","0,00 M",0.00
" Penerimaan Pinjaman Daerah","20,00 M","0,00 M",0.00
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,01 M",0
" Pengeluaran Pembiayaan Daerah","20,00 M","0,00 M",0.00
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","20,00 M","0,00 M",0.00
