akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.855,15 M","2.046,44 M",110.31
" PAD","248,23 M","422,49 M",170.20
" Pajak Daerah","39,85 M","48,34 M",121.30
" Retribusi Daerah","23,98 M","16,99 M",70.86
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","4,85 M","5,84 M",120.33
" Lain-Lain PAD yang Sah","179,55 M","351,32 M",195.67
" TKDD","1.495,48 M","1.476,72 M",98.75
" Pendapatan Transfer Pemerintah Pusat","1.495,48 M","1.476,72 M",98.75
" Pendapatan Lainnya","111,43 M","147,23 M",132.12
" Pendapatan Hibah","5,40 M","5,82 M",107.74
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,01 M",0
" Pendapatan Transfer Antar Daerah","106,03 M","141,40 M",133.36
" Belanja Daerah","2.095,65 M","2.167,41 M",103.42
" Belanja Pegawai","870,43 M","770,43 M",88.51
" Belanja Pegawai","870,43 M","770,43 M",88.51
" Belanja Barang Jasa","433,76 M","512,91 M",118.25
" Belanja Barang dan Jasa","433,76 M","512,91 M",118.25
" Belanja Modal","438,81 M","552,52 M",125.91
" Belanja Modal","438,81 M","552,52 M",125.91
" Belanja Lainnya","352,65 M","331,55 M",94.02
" Belanja Bagi Hasil","6,38 M","5,88 M",92.17
" Belanja Bantuan Keuangan","261,37 M","262,13 M",100.29
" Belanja Bunga","14,15 M","6,00 M",42.41
" Belanja Subsidi","0,00 M","0,01 M",0
" Belanja Hibah","41,62 M","50,01 M",120.15
" Belanja Bantuan Sosial","4,90 M","4,17 M",85.16
" Belanja Tidak Terduga","24,22 M","3,34 M",13.79
" Pembiayaan Daerah","240,50 M","405,50 M",168.61
" Penerimaan Pembiayaan Daerah","293,50 M","413,21 M",140.78
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","80,80 M","224,79 M",278.20
" Penerimaan Pinjaman Daerah","212,50 M","188,30 M",88.61
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,20 M","0,12 M",60.53
" Pengeluaran Pembiayaan Daerah","53,00 M","7,70 M",14.54
" Pembentukan Dana Cadangan","0,00 M","0,00 M",0
" Penyertaan Modal Daerah","3,00 M","3,00 M",100.00
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","50,00 M","4,70 M",9.41
