akun,anggaran,realisasi,persentase
" Pendapatan Daerah","9.533,44 M","8.791,31 M",92.22
" PAD","6.058,97 M","5.314,70 M",87.72
" Pajak Daerah","4.768,25 M","4.157,52 M",87.19
" Retribusi Daerah","352,74 M","269,60 M",76.43
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","167,62 M","233,69 M",139.41
" Lain-Lain PAD yang Sah","770,36 M","653,89 M",84.88
" TKDD","2.501,59 M","2.516,29 M",100.59
" Pendapatan Transfer Pemerintah Pusat","2.501,59 M","2.516,29 M",100.59
" Pendapatan Lainnya","972,88 M","960,32 M",98.71
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,00 M",0
" Pendapatan Transfer Antar Daerah","972,88 M","960,32 M",98.71
" Belanja Daerah","10.395,19 M","9.448,24 M",90.89
" Belanja Pegawai","2.779,27 M","2.460,37 M",88.53
" Belanja Pegawai","2.779,27 M","2.460,37 M",88.53
" Belanja Barang Jasa","5.214,77 M","4.892,06 M",93.81
" Belanja Barang dan Jasa","5.214,77 M","4.892,06 M",93.81
" Belanja Modal","2.140,39 M","1.766,03 M",82.51
" Belanja Modal","2.140,39 M","1.766,03 M",82.51
" Belanja Lainnya","260,76 M","329,78 M",126.47
" Belanja Bagi Hasil","0,75 M","1,06 M",141.68
" Belanja Bantuan Keuangan","0,50 M","0,00 M",0.00
" Belanja Hibah","222,51 M","327,01 M",146.97
" Belanja Tidak Terduga","37,00 M","1,70 M",4.60
" Pembiayaan Daerah","861,75 M","814,44 M",94.51
" Penerimaan Pembiayaan Daerah","871,75 M","824,44 M",94.57
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","871,75 M","824,42 M",94.57
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,01 M",0
" Pengeluaran Pembiayaan Daerah","10,00 M","10,00 M",100.00
" Penyertaan Modal Daerah","10,00 M","10,00 M",100.00
