akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.989,97 M","3.236,15 M",108.23
" PAD","518,00 M","516,76 M",99.76
" Pajak Daerah","202,76 M","231,46 M",114.15
" Retribusi Daerah","73,86 M","42,99 M",58.20
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","25,00 M","22,40 M",89.60
" Lain-Lain PAD yang Sah","216,38 M","219,91 M",101.63
" TKDD","2.300,08 M","2.331,61 M",101.37
" Pendapatan Transfer Pemerintah Pusat","2.300,08 M","2.331,61 M",101.37
" Pendapatan Lainnya","171,89 M","387,78 M",225.60
" Pendapatan Hibah","11,98 M","99,27 M",828.50
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","51,25 M","34,40 M",67.12
" Pendapatan Transfer Antar Daerah","108,66 M","254,11 M",233.86
" Belanja Daerah","3.005,97 M","3.327,25 M",110.69
" Belanja Pegawai","922,47 M","1.062,28 M",115.16
" Belanja Pegawai","922,47 M","1.062,28 M",115.16
" Belanja Barang Jasa","999,04 M","997,83 M",99.88
" Belanja Barang dan Jasa","999,04 M","997,83 M",99.88
" Belanja Modal","504,24 M","679,24 M",134.71
" Belanja Modal","504,24 M","679,24 M",134.71
" Belanja Lainnya","580,23 M","587,90 M",101.32
" Belanja Bagi Hasil","20,19 M","20,19 M",100.00
" Belanja Bantuan Keuangan","390,78 M","390,80 M",100.01
" Belanja Hibah","134,94 M","161,38 M",119.59
" Belanja Bantuan Sosial","14,31 M","12,37 M",86.45
" Belanja Tidak Terduga","20,00 M","3,15 M",15.76
" Pembiayaan Daerah","16,00 M","378,81 M","2,367.58"
" Penerimaan Pembiayaan Daerah","25,00 M","387,81 M","1,551.25"
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","25,00 M","387,81 M","1,551.24"
" Penjualan Kekayaan Daerah yang Dipisahkan","0,00 M","0,00 M",0
" Pengeluaran Pembiayaan Daerah","9,00 M","9,00 M",100.00
" Penyertaan Modal Daerah","9,00 M","9,00 M",100.00
