akun,anggaran,realisasi,persentase
" Pendapatan Daerah","3.811,39 M","3.715,16 M",97.48
" PAD","648,58 M","640,24 M",98.71
" Pajak Daerah","248,62 M","293,58 M",118.08
" Retribusi Daerah","47,68 M","38,87 M",81.52
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","6,10 M","6,83 M",111.92
" Lain-Lain PAD yang Sah","346,18 M","300,96 M",86.94
" TKDD","2.790,21 M","2.761,28 M",98.96
" Pendapatan Transfer Pemerintah Pusat","2.790,21 M","2.761,28 M",98.96
" Pendapatan Lainnya","372,60 M","313,63 M",84.18
" Pendapatan Hibah","21,43 M","10,93 M",51.00
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","86,12 M","17,70 M",20.56
" Pendapatan Transfer Antar Daerah","265,04 M","285,00 M",107.53
" Belanja Daerah","4.397,87 M","4.163,36 M",94.67
" Belanja Pegawai","1.606,17 M","1.384,50 M",86.20
" Belanja Pegawai","1.606,17 M","1.384,50 M",86.20
" Belanja Barang Jasa","1.224,75 M","1.297,77 M",105.96
" Belanja Barang dan Jasa","1.224,75 M","1.297,77 M",105.96
" Belanja Modal","904,54 M","829,31 M",91.68
" Belanja Modal","904,54 M","829,31 M",91.68
" Belanja Lainnya","662,41 M","651,78 M",98.40
" Belanja Bagi Hasil","22,07 M","22,07 M",100.00
" Belanja Bantuan Keuangan","457,38 M","490,13 M",107.16
" Belanja Hibah","90,08 M","93,92 M",104.27
" Belanja Bantuan Sosial","48,49 M","44,18 M",91.10
" Belanja Tidak Terduga","44,39 M","1,48 M",3.34
" Pembiayaan Daerah","586,48 M","569,54 M",97.11
" Penerimaan Pembiayaan Daerah","586,48 M","569,54 M",97.11
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","586,48 M","569,52 M",97.11
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,02 M",0
" Pengeluaran Pembiayaan Daerah","0,00 M","0,00 M",0
" Penyertaan Modal Daerah","0,00 M","0,00 M",0
