akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.298,91 M","2.277,81 M",99.08
" PAD","305,36 M","321,60 M",105.32
" Pajak Daerah","91,55 M","115,41 M",126.07
" Retribusi Daerah","18,10 M","14,83 M",81.93
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","1,09 M","1,23 M",112.38
" Lain-Lain PAD yang Sah","194,62 M","190,13 M",97.69
" TKDD","1.813,47 M","1.745,85 M",96.27
" Pendapatan Transfer Pemerintah Pusat","1.813,47 M","1.745,85 M",96.27
" Pendapatan Lainnya","180,08 M","210,36 M",116.82
" Pendapatan Hibah","0,00 M","3,00 M",0
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,00 M",0
" Pendapatan Transfer Antar Daerah","180,08 M","207,36 M",115.15
" Belanja Daerah","2.518,77 M","2.485,62 M",98.68
" Belanja Pegawai","980,94 M","964,74 M",98.35
" Belanja Pegawai","980,94 M","964,74 M",98.35
" Belanja Barang Jasa","513,50 M","514,95 M",100.28
" Belanja Barang dan Jasa","513,50 M","514,95 M",100.28
" Belanja Modal","443,42 M","409,78 M",92.41
" Belanja Modal","443,42 M","409,78 M",92.41
" Belanja Lainnya","580,91 M","596,14 M",102.62
" Belanja Bagi Hasil","11,10 M","10,82 M",97.51
" Belanja Bantuan Keuangan","479,33 M","499,56 M",104.22
" Belanja Bunga","8,50 M","2,72 M",31.96
" Belanja Hibah","57,50 M","68,20 M",118.61
" Belanja Bantuan Sosial","14,49 M","14,38 M",99.22
" Belanja Tidak Terduga","10,00 M","0,47 M",4.69
" Pembiayaan Daerah","219,87 M","454,18 M",206.57
" Penerimaan Pembiayaan Daerah","229,67 M","457,18 M",199.06
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","74,37 M","318,60 M",428.42
" Penerimaan Pinjaman Daerah","155,00 M","138,58 M",89.41
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,30 M","0,00 M",0.00
" Pengeluaran Pembiayaan Daerah","9,80 M","3,00 M",30.61
" Penyertaan Modal Daerah","0,00 M","3,00 M",0
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","9,80 M","0,00 M",0.00
