akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.109,08 M","2.198,46 M",104.24
" PAD","307,07 M","361,39 M",117.69
" Pajak Daerah","92,42 M","94,33 M",102.07
" Retribusi Daerah","22,68 M","20,15 M",88.87
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","7,96 M","6,62 M",83.11
" Lain-Lain PAD yang Sah","184,02 M","240,29 M",130.58
" TKDD","1.547,03 M","1.627,80 M",105.22
" Pendapatan Transfer Pemerintah Pusat","1.547,03 M","1.627,80 M",105.22
" Pendapatan Lainnya","254,98 M","209,27 M",82.07
" Pendapatan Hibah","20,32 M","28,76 M",141.55
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","110,77 M","0,27 M",0.24
" Pendapatan Transfer Antar Daerah","123,89 M","180,24 M",145.48
" Belanja Daerah","2.246,29 M","2.248,76 M",100.11
" Belanja Pegawai","842,69 M","773,99 M",91.85
" Belanja Pegawai","842,69 M","773,99 M",91.85
" Belanja Barang Jasa","570,47 M","569,50 M",99.83
" Belanja Barang dan Jasa","570,47 M","569,50 M",99.83
" Belanja Modal","218,66 M","301,05 M",137.68
" Belanja Modal","218,66 M","301,05 M",137.68
" Belanja Lainnya","614,46 M","604,23 M",98.33
" Belanja Bagi Hasil","7,27 M","9,98 M",137.22
" Belanja Bantuan Keuangan","345,61 M","344,96 M",99.81
" Belanja Bunga","11,31 M","9,34 M",82.63
" Belanja Hibah","176,79 M","199,98 M",113.12
" Belanja Bantuan Sosial","20,93 M","22,64 M",108.17
" Belanja Tidak Terduga","52,56 M","17,32 M",32.96
" Pembiayaan Daerah","137,20 M","309,94 M",225.90
" Penerimaan Pembiayaan Daerah","212,70 M","366,35 M",172.23
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","154,60 M","232,60 M",150.45
" Penerimaan Pinjaman Daerah","58,10 M","133,59 M",229.93
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,16 M",0
" Pengeluaran Pembiayaan Daerah","75,50 M","56,41 M",74.71
" Pembentukan Dana Cadangan","15,00 M","15,00 M",100.00
" Penyertaan Modal Daerah","0,50 M","0,50 M",100.00
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","60,00 M","40,91 M",68.18
