akun,anggaran,realisasi,persentase
" Pendapatan Daerah","3.236,14 M","2.238,95 M",69.19
" PAD","493,86 M","380,73 M",77.09
" Pajak Daerah","153,31 M","122,17 M",79.69
" Retribusi Daerah","20,51 M","13,62 M",66.43
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","20,00 M","11,86 M",59.30
" Lain-Lain PAD yang Sah","300,05 M","233,07 M",77.68
" TKDD","2.323,75 M","1.660,30 M",71.45
" Pendapatan Transfer Pemerintah Pusat","2.323,75 M","1.660,30 M",71.45
" Pendapatan Lainnya","418,53 M","197,92 M",47.29
" Pendapatan Hibah","5,80 M","0,11 M",1.94
" Pendapatan Transfer Antar Daerah","412,73 M","197,81 M",47.93
" Belanja Daerah","3.180,42 M","2.059,95 M",64.77
" Belanja Pegawai","949,14 M","694,34 M",73.16
" Belanja Pegawai","949,14 M","694,34 M",73.16
" Belanja Barang dan Jasa","809,05 M","499,04 M",61.68
" Belanja Barang dan Jasa","809,05 M","499,04 M",61.68
" Belanja Modal","325,91 M","134,37 M",41.23
" Belanja Modal","325,91 M","134,37 M",41.23
" Belanja Lainnya","1.096,32 M","732,19 M",66.79
" Belanja Bagi Hasil","17,78 M","7,23 M",40.64
" Belanja Bantuan Keuangan","758,03 M","563,44 M",74.33
" Belanja Bunga","9,77 M","8,26 M",84.52
" Belanja Hibah","278,78 M","146,53 M",52.56
" Belanja Bantuan Sosial","16,96 M","6,73 M",39.70
" Belanja Tidak Terduga","15,00 M","0,00 M",0.00
" Pembiayaan Daerah","-55,71 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","30,00 M","73,50 M",245.01
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","30,00 M","73,50 M",245.01
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,15 M",0
" Pengeluaran Pembiayaan Daerah","85,71 M","0,00 M",0.00
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","85,71 M","85,71 M",100.00
" Penerimaan Pembiayaan Lainnya","0,00 M","0,15 M",0
" Pembayaaran Pokok Utang","0,00 M","85,71 M",0
