akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.302,59 M","1.461,61 M",63.48
" PAD","358,02 M","173,92 M",48.58
" Pajak Daerah","118,38 M","66,57 M",56.24
" Retribusi Daerah","28,11 M","14,20 M",50.51
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","3,74 M","4,73 M",126.30
" Lain-Lain PAD yang Sah","207,78 M","88,42 M",42.55
" TKDD","1.785,67 M","1.199,44 M",67.17
" Pendapatan Transfer Pemerintah Pusat","1.785,67 M","1.199,44 M",67.17
" Pendapatan Lainnya","158,90 M","88,25 M",55.54
" Pendapatan Hibah","6,00 M","-0,30 M",-5.00
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","45,74 M","23,01 M",50.30
" Pendapatan Transfer Antar Daerah","107,16 M","65,54 M",61.16
" Belanja Daerah","2.573,09 M","1.540,30 M",59.86
" Belanja Pegawai","1.176,63 M","685,64 M",58.27
" Belanja Pegawai","1.176,63 M","685,64 M",58.27
" Belanja Barang dan Jasa","611,39 M","361,52 M",59.13
" Belanja Barang dan Jasa","611,39 M","361,52 M",59.13
" Belanja Modal","230,54 M","119,36 M",51.78
" Belanja Modal","230,54 M","119,36 M",51.78
" Belanja Lainnya","554,53 M","373,78 M",67.41
" Belanja Bagi Hasil","14,65 M","5,86 M",40.00
" Belanja Bantuan Keuangan","438,92 M","302,28 M",68.87
" Belanja Hibah","49,67 M","51,09 M",102.85
" Belanja Bantuan Sosial","11,85 M","11,33 M",95.59
" Belanja Tidak Terduga","39,44 M","3,23 M",8.19
" Pembiayaan Daerah","270,50 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","277,00 M","372,08 M",134.32
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","277,00 M","372,08 M",134.32
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,02 M",0
" Pengeluaran Pembiayaan Daerah","6,50 M","0,00 M",0.00
" Penyertaan Modal Daerah","6,50 M","0,50 M",7.69
" Penerimaan Pembiayaan Lainnya","0,00 M","0,02 M",0
" Penyertaan Modal","0,00 M","0,50 M",0
