akun,anggaran,realisasi,persentase
" Pendapatan Daerah","3.877,20 M","2.467,22 M",63.63
" PAD","1.610,93 M","812,07 M",50.41
" Pajak Daerah","940,18 M","591,48 M",62.91
" Retribusi Daerah","225,88 M","36,13 M",15.99
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","13,66 M","12,70 M",92.95
" Lain-Lain PAD yang Sah","431,21 M","171,77 M",39.83
" TKDD","1.869,13 M","1.430,70 M",76.54
" Pendapatan Transfer Pemerintah Pusat","1.869,13 M","1.430,70 M",76.54
" Pendapatan Lainnya","397,14 M","224,45 M",56.52
" Pendapatan Hibah","0,00 M","0,00 M",0
" Pendapatan Transfer Antar Daerah","397,14 M","224,45 M",56.52
" Belanja Daerah","4.085,73 M","2.090,00 M",51.15
" Belanja Pegawai","1.081,35 M","723,70 M",66.93
" Belanja Pegawai","1.081,35 M","723,70 M",66.93
" Belanja Barang dan Jasa","997,91 M","550,95 M",55.21
" Belanja Barang dan Jasa","997,91 M","550,95 M",55.21
" Belanja Modal","720,62 M","133,06 M",18.46
" Belanja Modal","720,62 M","133,06 M",18.46
" Belanja Lainnya","1.285,85 M","682,29 M",53.06
" Belanja Bagi Hasil","117,19 M","11,65 M",9.94
" Belanja Bantuan Keuangan","766,08 M","524,21 M",68.43
" Belanja Hibah","366,53 M","126,74 M",34.58
" Belanja Bantuan Sosial","26,05 M","18,49 M",70.99
" Belanja Tidak Terduga","10,00 M","1,20 M",11.96
" Pembiayaan Daerah","208,53 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","276,86 M","58,82 M",21.24
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","231,71 M","58,82 M",25.38
" Penerimaan Pinjaman Daerah","45,15 M","0,00 M",0.00
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,01 M",0
" Pengeluaran Pembiayaan Daerah","68,33 M","0,00 M",0.00
" Penyertaan Modal Daerah","45,15 M","0,00 M",0.00
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","23,18 M","0,00 M",0.00
" Penerimaan Pembiayaan Lainnya","0,00 M","0,01 M",0
