akun,anggaran,realisasi,persentase
" Pendapatan Daerah","3.515,29 M","2.592,99 M",73.76
" PAD","680,60 M","594,29 M",87.32
" Pajak Daerah","430,44 M","376,21 M",87.40
" Retribusi Daerah","40,22 M","29,73 M",73.92
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","4,65 M","4,98 M",107.03
" Lain-Lain PAD yang Sah","205,28 M","183,37 M",89.32
" TKDD","2.438,75 M","1.741,28 M",71.40
" Pendapatan Transfer Pemerintah Pusat","2.438,75 M","1.741,28 M",71.40
" Pendapatan Lainnya","395,94 M","257,42 M",65.01
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","68,72 M","52,61 M",76.55
" Pendapatan Transfer Antar Daerah","327,22 M","204,81 M",62.59
" Belanja Daerah","3.912,83 M","2.402,64 M",61.40
" Belanja Pegawai","1.344,05 M","876,40 M",65.21
" Belanja Pegawai","1.344,05 M","876,40 M",65.21
" Belanja Barang dan Jasa","1.199,61 M","691,48 M",57.64
" Belanja Barang dan Jasa","1.199,61 M","691,48 M",57.64
" Belanja Modal","481,54 M","199,38 M",41.41
" Belanja Modal","481,54 M","199,38 M",41.41
" Belanja Lainnya","887,62 M","635,37 M",71.58
" Belanja Bagi Hasil","47,01 M","45,76 M",97.35
" Belanja Bantuan Keuangan","570,17 M","477,43 M",83.73
" Belanja Hibah","214,45 M","101,11 M",47.15
" Belanja Bantuan Sosial","17,80 M","8,67 M",48.72
" Belanja Tidak Terduga","38,19 M","2,39 M",6.27
" Pembiayaan Daerah","397,53 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","400,79 M","274,57 M",68.51
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","400,79 M","274,57 M",68.51
" Pengeluaran Pembiayaan Daerah","3,26 M","0,00 M",0.00
" Penyertaan Modal Daerah","3,26 M","0,00 M",0.00
