akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.071,01 M","836,22 M",78.08
" PAD","255,14 M","185,39 M",72.66
" Pajak Daerah","92,00 M","86,53 M",94.05
" Retribusi Daerah","18,41 M","12,19 M",66.19
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","15,16 M","14,98 M",98.84
" Lain-Lain PAD yang Sah","129,57 M","71,69 M",55.33
" TKDD","730,40 M","573,79 M",78.56
" Pendapatan Transfer Pemerintah Pusat","730,40 M","573,79 M",78.56
" Pendapatan Lainnya","85,47 M","77,03 M",90.13
" Pendapatan Transfer Antar Daerah","85,47 M","77,03 M",90.13
" Belanja Daerah","1.263,01 M","763,72 M",60.47
" Belanja Pegawai","490,37 M","291,15 M",59.37
" Belanja Pegawai","490,37 M","291,15 M",59.37
" Belanja Barang dan Jasa","463,98 M","319,54 M",68.87
" Belanja Barang dan Jasa","463,98 M","319,54 M",68.87
" Belanja Modal","244,66 M","126,08 M",51.53
" Belanja Modal","244,66 M","126,08 M",51.53
" Belanja Lainnya","64,00 M","26,95 M",42.11
" Belanja Subsidi","0,10 M","0,02 M",25.12
" Belanja Hibah","15,73 M","7,42 M",47.22
" Belanja Bantuan Sosial","26,48 M","19,23 M",72.62
" Belanja Tidak Terduga","21,69 M","0,27 M",1.23
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","192,00 M","191,24 M",99.61
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","192,00 M","191,24 M",99.61
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,00 M",0
