akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.122,60 M","2.212,97 M",104.26
" PAD","249,89 M","309,33 M",123.78
" Pajak Daerah","65,55 M","75,99 M",115.94
" Retribusi Daerah","8,33 M","10,25 M",122.94
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","11,27 M","12,23 M",108.49
" Lain-Lain PAD yang Sah","164,74 M","210,86 M",128.00
" TKDD","1.679,24 M","1.722,29 M",102.56
" Pendapatan Transfer Pemerintah Pusat","1.679,24 M","1.722,29 M",102.56
" Pendapatan Lainnya","193,47 M","181,35 M",93.74
" Pendapatan Hibah","4,50 M","21,02 M",467.03
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","83,25 M","0,07 M",0.08
" Pendapatan Transfer Antar Daerah","105,72 M","160,27 M",151.60
" Belanja Daerah","2.287,32 M","2.294,02 M",100.29
" Belanja Pegawai","1.031,05 M","934,80 M",90.66
" Belanja Pegawai","1.031,05 M","934,80 M",90.66
" Belanja Barang Jasa","526,98 M","541,38 M",102.73
" Belanja Barang dan Jasa","526,98 M","541,38 M",102.73
" Belanja Modal","257,56 M","293,44 M",113.93
" Belanja Modal","257,56 M","293,44 M",113.93
" Belanja Lainnya","471,73 M","524,40 M",111.17
" Belanja Bagi Hasil","7,39 M","7,98 M",107.95
" Belanja Bantuan Keuangan","385,28 M","424,54 M",110.19
" Belanja Hibah","57,56 M","82,43 M",143.21
" Belanja Bantuan Sosial","8,88 M","8,46 M",95.24
" Belanja Tidak Terduga","12,61 M","0,99 M",7.83
" Pembiayaan Daerah","164,71 M","200,37 M",121.65
" Penerimaan Pembiayaan Daerah","172,21 M","207,87 M",120.70
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","172,21 M","207,87 M",120.70
" Pengeluaran Pembiayaan Daerah","7,50 M","7,50 M",100.00
" Pembentukan Dana Cadangan","0,00 M","0,00 M",0
" Penyertaan Modal Daerah","7,50 M","7,50 M",100.00
