akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.480,88 M","2.643,59 M",106.56
" PAD","556,36 M","574,70 M",103.29
" Pajak Daerah","312,41 M","295,83 M",94.69
" Retribusi Daerah","19,20 M","30,61 M",159.42
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","17,53 M","18,03 M",102.87
" Lain-Lain PAD yang Sah","207,22 M","230,23 M",111.10
" TKDD","1.721,89 M","1.844,56 M",107.12
" Pendapatan Transfer Pemerintah Pusat","1.721,89 M","1.844,56 M",107.12
" Pendapatan Lainnya","202,62 M","224,33 M",110.71
" Pendapatan Hibah","0,00 M","13,67 M",0
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","89,87 M","0,00 M",0.00
" Pendapatan Transfer Antar Daerah","112,76 M","210,66 M",186.82
" Belanja Daerah","2.634,05 M","2.721,19 M",103.31
" Belanja Pegawai","1.119,16 M","1.000,03 M",89.36
" Belanja Pegawai","1.119,16 M","1.000,03 M",89.36
" Belanja Barang Jasa","664,24 M","638,19 M",96.08
" Belanja Barang dan Jasa","664,24 M","638,19 M",96.08
" Belanja Modal","277,23 M","520,35 M",187.69
" Belanja Modal","277,23 M","520,35 M",187.69
" Belanja Lainnya","573,42 M","562,63 M",98.12
" Belanja Bagi Hasil","33,32 M","37,20 M",111.62
" Belanja Bantuan Keuangan","417,68 M","416,55 M",99.73
" Belanja Hibah","69,73 M","93,58 M",134.21
" Belanja Bantuan Sosial","20,04 M","14,70 M",73.36
" Belanja Tidak Terduga","32,66 M","0,60 M",1.84
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","153,17 M","751,42 M",490.58
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","153,02 M","751,37 M",491.03
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,15 M","0,05 M",30.52
