akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.349,23 M","2.406,12 M",102.42
" PAD","234,24 M","247,07 M",105.48
" Pajak Daerah","34,07 M","47,21 M",138.57
" Retribusi Daerah","9,32 M","9,53 M",102.26
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","15,25 M","16,02 M",105.09
" Lain-Lain PAD yang Sah","175,61 M","174,31 M",99.26
" TKDD","1.911,34 M","1.911,43 M",100.00
" Pendapatan Transfer Pemerintah Pusat","1.911,34 M","1.911,43 M",100.00
" Pendapatan Lainnya","203,65 M","247,62 M",121.59
" Pendapatan Hibah","26,05 M","26,29 M",100.90
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","93,50 M","69,02 M",73.81
" Pendapatan Transfer Antar Daerah","84,10 M","152,32 M",181.11
" Belanja Daerah","2.644,25 M","2.364,55 M",89.42
" Belanja Pegawai","1.149,08 M","949,02 M",82.59
" Belanja Pegawai","1.149,08 M","949,02 M",82.59
" Belanja Barang Jasa","541,60 M","530,11 M",97.88
" Belanja Barang dan Jasa","541,60 M","530,11 M",97.88
" Belanja Modal","222,83 M","197,06 M",88.43
" Belanja Modal","222,83 M","197,06 M",88.43
" Belanja Lainnya","730,73 M","688,36 M",94.20
" Belanja Bagi Hasil","3,60 M","3,55 M",98.76
" Belanja Bantuan Keuangan","516,22 M","530,72 M",102.81
" Belanja Hibah","134,12 M","133,03 M",99.19
" Belanja Bantuan Sosial","16,78 M","8,62 M",51.35
" Belanja Tidak Terduga","60,00 M","12,44 M",20.73
" Pembiayaan Daerah","295,02 M","375,07 M",127.14
" Penerimaan Pembiayaan Daerah","320,02 M","400,07 M",125.02
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","320,02 M","400,00 M",124.99
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,07 M",0
" Pengeluaran Pembiayaan Daerah","25,00 M","25,00 M",100.00
" Pembentukan Dana Cadangan","25,00 M","25,00 M",100.00
