akun,anggaran,realisasi,persentase
" Pendapatan Daerah","3.059,74 M","3.147,80 M",102.88
" PAD","650,58 M","657,45 M",101.06
" Pajak Daerah","311,55 M","274,32 M",88.05
" Retribusi Daerah","36,28 M","31,43 M",86.63
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","13,30 M","12,87 M",96.76
" Lain-Lain PAD yang Sah","289,45 M","338,83 M",117.06
" TKDD","2.248,14 M","2.246,51 M",99.93
" Pendapatan Transfer Pemerintah Pusat","2.248,14 M","2.246,51 M",99.93
" Pendapatan Lainnya","161,03 M","243,84 M",151.43
" Pendapatan Transfer Antar Daerah","161,03 M","243,84 M",151.43
" Belanja Daerah","3.486,92 M","3.840,73 M",110.15
" Belanja Pegawai","1.160,23 M","1.123,93 M",96.87
" Belanja Pegawai","1.160,23 M","1.123,93 M",96.87
" Belanja Barang dan Jasa","965,67 M","1.215,69 M",125.89
" Belanja Barang dan Jasa","965,67 M","1.215,69 M",125.89
" Belanja Modal","403,72 M","517,94 M",128.29
" Belanja Modal","403,72 M","517,94 M",128.29
" Belanja Lainnya","957,30 M","983,17 M",102.70
" Belanja Bagi Hasil","34,85 M","34,85 M",100.00
" Belanja Bantuan Keuangan","640,44 M","656,02 M",102.43
" Belanja Hibah","218,81 M","247,18 M",112.97
" Belanja Bantuan Sosial","39,20 M","43,98 M",112.18
" Belanja Tidak Terduga","24,00 M","1,13 M",4.72
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","427,17 M","0,00 M",0.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","352,17 M","0,00 M",0.00
" Penerimaan Pinjaman Daerah","75,00 M","0,00 M",0.00
