akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.402,58 M","2.365,32 M",98.45
" PAD","353,06 M","379,53 M",107.50
" Pajak Daerah","74,98 M","70,31 M",93.77
" Retribusi Daerah","15,81 M","299,73 M","1,895.88"
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","4,37 M","4,75 M",108.78
" Lain-Lain PAD yang Sah","257,91 M","4,74 M",1.84
" TKDD","1.872,91 M","1.812,69 M",96.78
" Pendapatan Transfer Pemerintah Pusat","1.872,91 M","1.812,69 M",96.78
" Pendapatan Lainnya","176,61 M","173,10 M",98.02
" Pendapatan Transfer Antar Daerah","176,61 M","173,10 M",98.02
" Belanja Daerah","2.502,06 M","2.433,87 M",97.27
" Belanja Pegawai","1.014,77 M","1.012,74 M",99.80
" Belanja Pegawai","1.014,77 M","1.012,74 M",99.80
" Belanja Barang dan Jasa","596,94 M","552,90 M",92.62
" Belanja Barang dan Jasa","596,94 M","552,90 M",92.62
" Belanja Modal","280,56 M","288,03 M",102.66
" Belanja Modal","280,56 M","288,03 M",102.66
" Belanja Lainnya","609,78 M","580,20 M",95.15
" Belanja Bagi Hasil","9,08 M","9,10 M",100.28
" Belanja Bantuan Keuangan","421,16 M","423,10 M",100.46
" Belanja Hibah","176,42 M","145,37 M",82.40
" Belanja Bantuan Sosial","2,12 M","1,93 M",90.94
" Belanja Tidak Terduga","1,00 M","0,69 M",68.89
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","99,48 M","154,53 M",155.34
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","99,48 M","154,53 M",155.34
