akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.983,10 M","2.006,69 M",101.19
" PAD","265,50 M","262,90 M",99.02
" Pajak Daerah","72,47 M","78,96 M",108.95
" Retribusi Daerah","30,17 M","29,48 M",97.72
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","3,91 M","4,74 M",121.18
" Lain-Lain PAD yang Sah","158,95 M","149,72 M",94.19
" TKDD","1.548,61 M","1.568,85 M",101.31
" Pendapatan Transfer Pemerintah Pusat","1.548,61 M","1.568,85 M",101.31
" Pendapatan Lainnya","168,99 M","174,95 M",103.52
" Pendapatan Hibah","3,43 M","3,43 M",100.00
" Pendapatan Transfer Antar Daerah","165,56 M","171,51 M",103.60
" Belanja Daerah","2.144,29 M","2.056,60 M",95.91
" Belanja Pegawai","834,00 M","828,51 M",99.34
" Belanja Pegawai","834,00 M","828,51 M",99.34
" Belanja Barang dan Jasa","569,39 M","518,04 M",90.98
" Belanja Barang dan Jasa","569,39 M","518,04 M",90.98
" Belanja Modal","231,14 M","199,05 M",86.12
" Belanja Modal","231,14 M","199,05 M",86.12
" Belanja Lainnya","509,76 M","511,00 M",100.24
" Belanja Bagi Hasil","10,86 M","10,86 M",100.00
" Belanja Bantuan Keuangan","347,28 M","356,21 M",102.57
" Belanja Subsidi","0,06 M","0,06 M",100.00
" Belanja Hibah","140,22 M","135,53 M",96.66
" Belanja Bantuan Sosial","5,65 M","5,38 M",95.16
" Belanja Tidak Terduga","5,70 M","2,96 M",51.88
" Pembiayaan Daerah","161,18 M","-1,50 M",-0.93
" Penerimaan Pembiayaan Daerah","162,68 M","0,00 M",0.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","162,68 M","0,00 M",0.00
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,00 M",0
" Pengeluaran Pembiayaan Daerah","1,50 M","1,50 M",100.00
" Penyertaan Modal Daerah","1,50 M","1,50 M",100.00
