akun,anggaran,realisasi,persentase
" Pendapatan Daerah","4.694,76 M","4.644,46 M",98.93
" PAD","1.035,84 M","927,36 M",89.53
" Pajak Daerah","484,67 M","526,09 M",108.55
" Retribusi Daerah","356,79 M","223,43 M",62.62
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","49,11 M","27,33 M",55.66
" Lain-Lain PAD yang Sah","145,28 M","150,51 M",103.60
" TKDD","3.318,79 M","3.307,62 M",99.66
" Pendapatan Transfer Pemerintah Pusat","3.318,79 M","3.307,62 M",99.66
" Pendapatan Lainnya","340,13 M","409,48 M",120.39
" Pendapatan Hibah","7,78 M","7,35 M",94.51
" Pendapatan Transfer Antar Daerah","332,35 M","402,13 M",120.99
" Belanja Daerah","4.962,91 M","4.597,53 M",92.64
" Belanja Pegawai","1.903,25 M","1.676,95 M",88.11
" Belanja Pegawai","1.903,25 M","1.676,95 M",88.11
" Belanja Barang dan Jasa","1.199,10 M","1.127,28 M",94.01
" Belanja Barang dan Jasa","1.199,10 M","1.127,28 M",94.01
" Belanja Modal","654,91 M","604,40 M",92.29
" Belanja Modal","654,91 M","604,40 M",92.29
" Belanja Lainnya","1.205,65 M","1.188,90 M",98.61
" Belanja Bagi Hasil","50,73 M","37,01 M",72.97
" Belanja Bantuan Keuangan","708,43 M","718,87 M",101.47
" Belanja Subsidi","1,50 M","0,00 M",0.00
" Belanja Hibah","352,72 M","347,00 M",98.38
" Belanja Bantuan Sosial","86,94 M","83,44 M",95.98
" Belanja Tidak Terduga","5,33 M","2,57 M",48.21
" Pembiayaan Daerah","268,15 M","268,15 M",100.00
" Penerimaan Pembiayaan Daerah","275,45 M","275,45 M",100.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","275,45 M","275,45 M",100.00
" Pengeluaran Pembiayaan Daerah","7,30 M","7,30 M",100.00
" Penyertaan Modal Daerah","7,30 M","7,30 M",100.00
