akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.389,60 M","1.506,29 M",63.04
" PAD","274,93 M","177,48 M",64.55
" Pajak Daerah","78,31 M","67,30 M",85.94
" Retribusi Daerah","8,76 M","7,33 M",83.69
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","12,23 M","13,03 M",106.53
" Lain-Lain PAD yang Sah","175,63 M","89,81 M",51.14
" TKDD","1.916,64 M","1.213,03 M",63.29
" Pendapatan Transfer Pemerintah Pusat","1.916,64 M","1.213,03 M",63.29
" Pendapatan Lainnya","198,03 M","115,78 M",58.47
" Pendapatan Hibah","23,03 M","0,03 M",0.11
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,00 M",0
" Pendapatan Transfer Antar Daerah","175,00 M","115,76 M",66.14
" Belanja Daerah","2.497,82 M","1.429,98 M",57.25
" Belanja Pegawai","1.009,62 M","652,74 M",64.65
" Belanja Pegawai","1.009,62 M","652,74 M",64.65
" Belanja Barang dan Jasa","552,05 M","244,95 M",44.37
" Belanja Barang dan Jasa","552,05 M","244,95 M",44.37
" Belanja Modal","385,72 M","137,50 M",35.65
" Belanja Modal","385,72 M","137,50 M",35.65
" Belanja Lainnya","550,43 M","394,79 M",71.72
" Belanja Bagi Hasil","8,27 M","0,00 M",0.00
" Belanja Bantuan Keuangan","448,09 M","317,67 M",70.89
" Belanja Hibah","84,15 M","69,45 M",82.53
" Belanja Bantuan Sosial","3,08 M","6,43 M",209.13
" Belanja Tidak Terduga","6,83 M","1,24 M",18.10
" Pembiayaan Daerah","108,22 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","117,22 M","119,32 M",101.79
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","117,22 M","119,32 M",101.79
" Pengeluaran Pembiayaan Daerah","9,00 M","0,00 M",0.00
" Penyertaan Modal Daerah","9,00 M","9,00 M",100.00
" Penyertaan Modal","0,00 M","9,00 M",0
