akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.744,31 M","2.184,32 M",79.59
" PAD","534,59 M","444,92 M",83.23
" Pajak Daerah","147,82 M","137,81 M",93.23
" Retribusi Daerah","19,50 M","17,44 M",89.45
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","5,22 M","5,55 M",106.33
" Lain-Lain PAD yang Sah","362,04 M","284,12 M",78.48
" TKDD","2.037,73 M","1.556,36 M",76.38
" Pendapatan Transfer Pemerintah Pusat","2.037,73 M","1.556,36 M",76.38
" Pendapatan Lainnya","171,99 M","183,04 M",106.42
" Pendapatan Hibah","0,54 M","0,00 M",0.00
" Pendapatan Transfer Antar Daerah","171,45 M","183,04 M",106.76
" Belanja Daerah","2.936,82 M","1.964,06 M",66.88
" Belanja Pegawai","1.086,09 M","685,71 M",63.14
" Belanja Pegawai","1.086,09 M","685,71 M",63.14
" Belanja Barang dan Jasa","845,96 M","572,77 M",67.71
" Belanja Barang dan Jasa","845,96 M","572,77 M",67.71
" Belanja Modal","270,01 M","78,86 M",29.20
" Belanja Modal","270,01 M","78,86 M",29.20
" Belanja Lainnya","734,77 M","626,72 M",85.30
" Belanja Bagi Hasil","16,73 M","16,73 M",100.00
" Belanja Bantuan Keuangan","528,39 M","474,52 M",89.80
" Belanja Subsidi","2,00 M","1,99 M",99.59
" Belanja Hibah","131,85 M","104,43 M",79.20
" Belanja Bantuan Sosial","38,62 M","26,76 M",69.31
" Belanja Tidak Terduga","17,17 M","2,29 M",13.31
" Pembiayaan Daerah","192,52 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","232,52 M","369,08 M",158.73
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","212,52 M","369,08 M",173.67
" Penerimaan Pinjaman Daerah","20,00 M","0,00 M",0.00
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,14 M",0
" Pengeluaran Pembiayaan Daerah","40,00 M","0,00 M",0.00
" Pembentukan Dana Cadangan","20,00 M","20,00 M",100.00
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","20,00 M","0,00 M",0.00
" Penerimaan Pembiayaan Lainnya","0,00 M","0,14 M",0
" Pengeluaran Pembiayaan Lainnya","0,00 M","20,00 M",0
