akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.817,35 M","1.400,96 M",77.09
" PAD","230,20 M","159,79 M",69.41
" Pajak Daerah","65,15 M","57,23 M",87.85
" Retribusi Daerah","35,49 M","27,10 M",76.37
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","3,81 M","3,06 M",80.17
" Lain-Lain PAD yang Sah","125,76 M","72,40 M",57.57
" TKDD","1.444,12 M","1.103,37 M",76.40
" Pendapatan Transfer Pemerintah Pusat","1.444,12 M","1.103,37 M",76.40
" Pendapatan Lainnya","143,02 M","137,80 M",96.35
" Pendapatan Hibah","10,62 M","0,00 M",0.00
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","17,73 M","12,02 M",67.80
" Pendapatan Transfer Antar Daerah","114,67 M","125,77 M",109.69
" Belanja Daerah","1.985,18 M","1.294,61 M",65.21
" Belanja Pegawai","769,68 M","566,40 M",73.59
" Belanja Pegawai","769,68 M","566,40 M",73.59
" Belanja Barang dan Jasa","559,27 M","312,37 M",55.85
" Belanja Barang dan Jasa","559,27 M","312,37 M",55.85
" Belanja Modal","238,38 M","96,10 M",40.31
" Belanja Modal","238,38 M","96,10 M",40.31
" Belanja Lainnya","417,85 M","319,74 M",76.52
" Belanja Bagi Hasil","11,57 M","0,00 M",0.00
" Belanja Bantuan Keuangan","312,82 M","270,64 M",86.52
" Belanja Subsidi","0,05 M","0,05 M",100.00
" Belanja Hibah","61,75 M","42,17 M",68.29
" Belanja Bantuan Sosial","11,66 M","5,96 M",51.15
" Belanja Tidak Terduga","20,00 M","0,92 M",4.62
" Pembiayaan Daerah","167,83 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","176,83 M","221,34 M",125.17
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","176,83 M","221,34 M",125.17
" Pencairan Dana Cadangan","0,00 M","0,00 M",0
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,06 M",0
" Pengeluaran Pembiayaan Daerah","9,00 M","0,00 M",0.00
" Penyertaan Modal Daerah","9,00 M","9,00 M",100.00
" Penerimaan Pembiayaan Lainnya","0,00 M","0,06 M",0
" Penyertaan Modal","0,00 M","9,00 M",0
