akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.739,66 M","1.225,72 M",70.46
" PAD","281,20 M","185,04 M",65.80
" Pajak Daerah","66,99 M","41,70 M",62.24
" Retribusi Daerah","22,30 M","9,62 M",43.15
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","4,48 M","4,96 M",110.88
" Lain-Lain PAD yang Sah","187,43 M","128,76 M",68.70
" TKDD","1.346,31 M","932,30 M",69.25
" Pendapatan Transfer Pemerintah Pusat","1.346,31 M","932,30 M",69.25
" Pendapatan Lainnya","112,15 M","108,38 M",96.64
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","1,49 M","0,00 M",0.00
" Pendapatan Transfer Antar Daerah","110,65 M","108,38 M",97.94
" Belanja Daerah","1.914,14 M","1.117,77 M",58.40
" Belanja Pegawai","746,92 M","472,28 M",63.23
" Belanja Pegawai","746,92 M","472,28 M",63.23
" Belanja Barang dan Jasa","566,80 M","335,92 M",59.27
" Belanja Barang dan Jasa","566,80 M","335,92 M",59.27
" Belanja Modal","274,36 M","83,52 M",30.44
" Belanja Modal","274,36 M","83,52 M",30.44
" Belanja Lainnya","326,07 M","226,05 M",69.32
" Belanja Bagi Hasil","8,93 M","6,15 M",68.83
" Belanja Bantuan Keuangan","236,03 M","186,67 M",79.09
" Belanja Hibah","58,01 M","19,75 M",34.04
" Belanja Bantuan Sosial","13,10 M","13,07 M",99.74
" Belanja Tidak Terduga","10,00 M","0,41 M",4.11
" Pembiayaan Daerah","174,48 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","214,48 M","256,88 M",119.77
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","214,48 M","256,88 M",119.77
" Penjualan Kekayaan Daerah yang Dipisahkan","0,00 M","1,30 M",0
" Pengeluaran Pembiayaan Daerah","40,00 M","0,00 M",0.00
" Pembentukan Dana Cadangan","40,00 M","80,00 M",200.00
" Penerimaan Pembiayaan Lainnya","0,00 M","1,30 M",0
" Pengeluaran Pembiayaan Lainnya","0,00 M","80,00 M",0
