akun,anggaran,realisasi,persentase
" Pendapatan Daerah","4.874,35 M","3.422,43 M",70.21
" PAD","1.913,14 M","1.445,92 M",75.58
" Pajak Daerah","1.215,00 M","970,66 M",79.89
" Retribusi Daerah","51,83 M","38,19 M",73.68
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","39,76 M","33,03 M",83.07
" Lain-Lain PAD yang Sah","606,54 M","404,05 M",66.61
" TKDD","2.376,79 M","1.594,66 M",67.09
" Pendapatan Transfer Pemerintah Pusat","2.376,79 M","1.594,66 M",67.09
" Pendapatan Lainnya","584,43 M","381,85 M",65.34
" Pendapatan Hibah","4,30 M","0,00 M",0.00
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,84 M",0
" Pendapatan Transfer Antar Daerah","580,13 M","381,01 M",65.68
" Belanja Daerah","5.367,13 M","2.962,11 M",55.19
" Belanja Pegawai","1.652,30 M","1.115,69 M",67.52
" Belanja Pegawai","1.652,30 M","1.115,69 M",67.52
" Belanja Barang dan Jasa","1.639,22 M","925,31 M",56.45
" Belanja Barang dan Jasa","1.639,22 M","925,31 M",56.45
" Belanja Modal","846,63 M","184,79 M",21.83
" Belanja Modal","846,63 M","184,79 M",21.83
" Belanja Lainnya","1.228,97 M","736,32 M",59.91
" Belanja Bagi Hasil","141,25 M","47,43 M",33.57
" Belanja Bantuan Keuangan","638,00 M","426,14 M",66.79
" Belanja Subsidi","2,52 M","0,74 M",29.50
" Belanja Hibah","323,06 M","189,35 M",58.61
" Belanja Bantuan Sosial","107,94 M","63,21 M",58.56
" Belanja Tidak Terduga","16,20 M","9,44 M",58.27
" Pembiayaan Daerah","492,78 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","494,88 M","494,88 M",100.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","494,88 M","494,88 M",100.00
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,57 M",0
" Pengeluaran Pembiayaan Daerah","2,10 M","0,00 M",0.00
" Penyertaan Modal Daerah","2,10 M","0,00 M",0.00
" Penerimaan Pembiayaan Lainnya","0,00 M","0,57 M",0
