akun,anggaran,realisasi,persentase
" Pendapatan Daerah","5.219,45 M","3.631,47 M",69.58
" PAD","900,09 M","667,50 M",74.16
" Pajak Daerah","137,14 M","125,32 M",91.38
" Retribusi Daerah","69,32 M","27,90 M",40.25
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","139,12 M","181,27 M",130.30
" Lain-Lain PAD yang Sah","554,50 M","333,00 M",60.05
" TKDD","4.145,43 M","2.759,15 M",66.56
" Pendapatan Transfer Pemerintah Pusat","4.145,43 M","2.759,15 M",66.56
" Pendapatan Lainnya","173,94 M","204,82 M",117.76
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","74,71 M","57,08 M",76.40
" Pendapatan Transfer Antar Daerah","99,23 M","147,75 M",148.89
" Belanja Daerah","6.974,27 M","3.124,83 M",44.81
" Belanja Pegawai","1.573,47 M","772,93 M",49.12
" Belanja Pegawai","1.573,47 M","772,93 M",49.12
" Belanja Barang dan Jasa","1.330,28 M","709,04 M",53.30
" Belanja Barang dan Jasa","1.330,28 M","709,04 M",53.30
" Belanja Modal","2.568,79 M","686,30 M",26.72
" Belanja Modal","2.568,79 M","686,30 M",26.72
" Belanja Lainnya","1.501,73 M","956,56 M",63.70
" Belanja Bagi Hasil","23,18 M","0,00 M",0.00
" Belanja Bantuan Keuangan","1.021,93 M","797,02 M",77.99
" Belanja Subsidi","4,50 M","0,59 M",13.17
" Belanja Hibah","320,45 M","107,15 M",33.44
" Belanja Bantuan Sosial","49,06 M","28,44 M",57.97
" Belanja Tidak Terduga","82,61 M","23,36 M",28.27
" Pembiayaan Daerah","1.754,81 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","2.254,81 M","3.217,80 M",142.71
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","2.254,81 M","3.217,80 M",142.71
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,40 M",0
" Pengeluaran Pembiayaan Daerah","500,00 M","0,00 M",0.00
" Pembentukan Dana Cadangan","500,00 M","0,00 M",0.00
" Penerimaan Pembiayaan Lainnya","0,00 M","0,40 M",0
