akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.841,13 M","2.327,14 M",81.91
" PAD","500,39 M","452,08 M",90.35
" Pajak Daerah","240,71 M","212,95 M",88.47
" Retribusi Daerah","27,03 M","20,52 M",75.91
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","11,25 M","10,16 M",90.29
" Lain-Lain PAD yang Sah","221,40 M","208,45 M",94.15
" TKDD","2.176,56 M","1.681,19 M",77.24
" Pendapatan Transfer Pemerintah Pusat","2.176,56 M","1.681,19 M",77.24
" Pendapatan Lainnya","164,19 M","193,87 M",118.08
" Pendapatan Hibah","3,16 M","0,72 M",22.86
" Pendapatan Transfer Antar Daerah","161,03 M","193,15 M",119.95
" Belanja Daerah","3.382,66 M","2.046,21 M",60.49
" Belanja Pegawai","1.128,99 M","734,10 M",65.02
" Belanja Pegawai","1.128,99 M","734,10 M",65.02
" Belanja Barang dan Jasa","872,78 M","541,47 M",62.04
" Belanja Barang dan Jasa","872,78 M","541,47 M",62.04
" Belanja Modal","561,80 M","202,71 M",36.08
" Belanja Modal","561,80 M","202,71 M",36.08
" Belanja Lainnya","819,09 M","567,94 M",69.34
" Belanja Bagi Hasil","24,51 M","0,00 M",0.00
" Belanja Bantuan Keuangan","569,54 M","474,85 M",83.37
" Belanja Hibah","148,35 M","78,41 M",52.85
" Belanja Bantuan Sosial","52,07 M","14,68 M",28.19
" Belanja Tidak Terduga","24,62 M","0,00 M",0.00
" Pembiayaan Daerah","541,53 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","581,53 M","0,00 M",0.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","581,53 M","0,00 M",0.00
" Pengeluaran Pembiayaan Daerah","40,00 M","0,00 M",0.00
" Pembentukan Dana Cadangan","40,00 M","40,00 M",100.00
" Pengeluaran Pembiayaan Lainnya","0,00 M","40,00 M",0
