akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.147,63 M","2.291,88 M",106.72
" PAD","255,62 M","299,32 M",117.09
" Pajak Daerah","68,95 M","88,72 M",128.67
" Retribusi Daerah","23,04 M","22,79 M",98.92
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","6,62 M","6,75 M",101.97
" Lain-Lain PAD yang Sah","157,02 M","181,06 M",115.31
" TKDD","1.769,02 M","1.795,84 M",101.52
" Pendapatan Transfer Pemerintah Pusat","1.769,02 M","1.795,84 M",101.52
" Pendapatan Lainnya","122,99 M","196,72 M",159.96
" Pendapatan Hibah","1,74 M","1,71 M",98.17
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,10 M",0
" Pendapatan Transfer Antar Daerah","121,25 M","194,92 M",160.76
" Belanja Daerah","2.359,88 M","2.368,32 M",100.36
" Belanja Pegawai","968,22 M","892,76 M",92.21
" Belanja Pegawai","968,22 M","892,76 M",92.21
" Belanja Barang dan Jasa","572,17 M","593,56 M",103.74
" Belanja Barang dan Jasa","572,17 M","593,56 M",103.74
" Belanja Modal","213,75 M","231,03 M",108.09
" Belanja Modal","213,75 M","231,03 M",108.09
" Belanja Lainnya","605,75 M","650,97 M",107.47
" Belanja Bagi Hasil","9,27 M","9,27 M",100.00
" Belanja Bantuan Keuangan","485,96 M","517,37 M",106.47
" Belanja Hibah","81,74 M","111,87 M",136.87
" Belanja Bantuan Sosial","7,35 M","7,06 M",96.13
" Belanja Tidak Terduga","21,43 M","5,38 M",25.12
" Pembiayaan Daerah","212,26 M","368,62 M",173.67
" Penerimaan Pembiayaan Daerah","212,26 M","388,62 M",183.09
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","212,26 M","317,97 M",149.81
" Pencairan Dana Cadangan","0,00 M","70,00 M",0
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,65 M",0
" Pengeluaran Pembiayaan Daerah","0,00 M","20,00 M",0
" Pembentukan Dana Cadangan","0,00 M","20,00 M",0
